geoid,name,population,value,percentile,numerator,denominator,se
91722,91722,34631,0.04706794,0.531607007,,,
90803,90803,32126,0.574714989,0.856054836,,,
90755,90755,11545,0.07893301,0.555978675,,,
90723,90723,54513,-0.475901164,0.191926885,,,
90020,90020,39189,-0.32686475,0.27341965,,,
90019,90019,64534,-0.206179911,0.359482102,,,
91390,91390,19168,0.499392466,0.819497334,,,
91381,91381,19390,0.444612685,0.779893374,,,
90275,90275,42146,0.655045246,0.892612338,,,
91423,91423,33172,0.485782384,0.811881188,,,
91206,91206,34739,-0.044320563,0.472962681,,,
90045,90045,40567,0.463425067,0.794364052,,,
90028,90028,29774,-0.383934008,0.241431835,,,
90230,90230,32687,0.440903639,0.776846915,,,
91351,91351,32711,0.022026368,0.514851485,,,
91354,91354,32544,0.511914332,0.825590251,,,
90043,90043,45873,-0.401709373,0.23229246,,,
90002,90002,53302,-1.016529005,0.025133283,,,
90005,90005,39732,-0.526473258,0.169078446,,,
90277,90277,34827,0.732779181,0.923838538,,,
91780,91780,35133,0.09470519,0.56511805,,,
93637,93637,41108,-0.298600507,0.291698401,,,
94920,94920,12740,1.244887914,0.994668698,,,
94903,94903,30427,0.710881424,0.918507235,,,
94904,94904,12994,1.128618491,0.987052551,,,
95437,95437,14859,-0.128085947,0.41355674,,,
95322,95322,10373,-0.50853638,0.177456207,,,
95341,95341,33090,-0.791107505,0.070068545,,,
96101,96101,5262,-0.521176915,0.170601676,,,
93920,93920,1545,0.20893661,0.635186596,,,
93426,93426,1568,-0.445567593,0.206397563,,,
92703,92703,69112,-0.465310265,0.198019802,,,
92869,92869,36846,0.385109036,0.738766184,,,
92805,92805,74478,-0.344051847,0.267326733,,,
92612,92612,33234,0.066152868,0.547600914,,,
92656,92656,52268,0.61961928,0.873571973,,,
92677,92677,66314,0.556818467,0.846915461,,,
92806,92806,39442,-0.073462711,0.450114242,,,
90621,90621,35598,-0.148837099,0.395277989,,,
90620,90620,46414,0.133296754,0.591012947,,,
92801,92801,66594,-0.254585358,0.324447829,,,
92704,92704,88321,-0.239535072,0.334348819,,,
92625,92625,12394,0.862994798,0.956587966,,,
92617,92617,17197,-0.141847914,0.401370906,,,
95603,95603,29474,0.229720669,0.6458492,,,
95650,95650,14808,0.489336267,0.813404417,,,
95971,95971,5924,-0.06565492,0.455445545,,,
92260,92260,34660,-0.087676999,0.443259711,,,
92203,92203,31140,0.014525649,0.510281797,,,
92883,92883,35933,0.177727084,0.612338157,,,
92582,92582,17219,-0.355125258,0.26199543,,,
92590,92590,5154,-0.097839244,0.43488195,,,
